episode,score
1000,-25.00000000000008
2000,-25.00000000000008
3000,-25.00000000000008
4000,-25.00000000000008
5000,-25.00000000000008
6000,-25.00000000000008
7000,-0.15800000000000064
8000,0.019999999999999466
9000,-0.20800000000000066
10000,-0.13200000000000053
11000,-0.3370000000000005
12000,-25.00000000000008
13000,-25.00000000000008
14000,-25.00000000000008
15000,-25.00000000000008
16000,-25.00000000000008
17000,-0.21400000000000055
18000,-1.0400000000000014
19000,-1.7600000000000002
20000,-0.35800000000000104
21000,-1.5560000000000016
22000,-1.5320000000000014
23000,-0.5100000000000011
24000,-0.5480000000000009
25000,1.9999999999999998
26000,-1.0880000000000016
27000,-1.0980000000000005
28000,-25.00000000000008
29000,-0.36400000000000104
