episode,score
1000,2.032
2000,1.7450000000000003
3000,2.114
4000,1.9910000000000003
5000,2.1140000000000003
6000,2.032
7000,1.8270000000000002
8000,1.9910000000000003
9000,1.868
10000,1.6219999999999999
11000,1.8270000000000002
12000,2.073
13000,1.868
14000,2.155
15000,1.9910000000000003
16000,1.909
17000,1.95
18000,1.95
19000,1.8929999999999996
20000,2.237
21000,1.868
22000,2.237
23000,-13.616000000000021
24000,-10.372000000000012
25000,1.909
26000,4.0
27000,1.6629999999999998
28000,1.663
29000,2.1140000000000003
30000,1.95
