episode,score
1000,-25.00000000000008
2000,-25.00000000000008
3000,-25.00000000000008
4000,-25.00000000000008
5000,-9.600000000000039
6000,-25.00000000000008
7000,-25.00000000000008
8000,-25.00000000000008
9000,-25.00000000000008
10000,0.36799999999999977
11000,0.819
12000,-0.08600000000000074
13000,-0.983000000000001
14000,-0.7190000000000006
15000,-0.014000000000000607
16000,-0.6090000000000012
17000,-0.43200000000000055
18000,0.40899999999999986
19000,0.16299999999999976
20000,-1.0680000000000012
21000,-0.6840000000000009
22000,0.3269999999999998
23000,0.6549999999999998
24000,0.40899999999999986
25000,0.655
26000,-25.00000000000008
27000,0.4909999999999998
28000,2.5
29000,0.4909999999999998
30000,0.9009999999999999
31000,0.24499999999999983
32000,0.16299999999999978
