episode,score
1000,1.8270000000000002
2000,1.909
3000,2.278
4000,2.073
5000,1.9499999999999997
6000,2.073
7000,-9.260000000000021
8000,1.8680000000000003
9000,1.745
10000,1.95
11000,2.278
12000,1.909
13000,1.786
14000,1.7450000000000003
15000,1.9909999999999999
16000,2.155
17000,1.9909999999999999
18000,1.581
19000,1.909
20000,2.073
21000,2.032
22000,2.032
23000,2.155
24000,1.8270000000000002
25000,2.073
26000,1.9500000000000002
27000,1.704
28000,2.114
29000,2.237
30000,1.868
31000,2.278
32000,1.704
33000,2.073
34000,1.663
35000,1.745
36000,1.868
37000,1.95
38000,1.868
39000,1.4580000000000002
40000,1.786
41000,1.9090000000000003
42000,1.909
43000,1.868
44000,1.786
45000,1.663
46000,1.909
47000,1.8679999999999999
48000,1.95
49000,1.8270000000000002
50000,1.581
51000,2.155
52000,2.032
53000,1.9910000000000003
54000,1.95
55000,1.54
56000,1.868
57000,1.786
58000,1.827
59000,1.909
60000,2.032
61000,1.9089999999999998
62000,1.868
63000,1.786
64000,1.9910000000000003
65000,2.073
66000,1.909
67000,2.155
68000,2.1959999999999997
69000,1.909
70000,2.073
71000,1.868
72000,1.745
73000,2.032
74000,1.581
75000,2.073
76000,1.4580000000000002
77000,1.95
78000,2.032
79000,1.6630000000000005
80000,1.9909999999999999
81000,2.073
82000,1.62
83000,1.9909999999999999
84000,2.155
85000,1.9910000000000003
86000,1.745
87000,2.442
88000,1.8679999999999999
89000,2.032
90000,1.622
91000,1.786
92000,1.95
93000,2.1550000000000002
94000,2.1959999999999997
95000,2.073
96000,2.114
97000,1.9909999999999999
98000,1.8270000000000002
99000,1.581
100000,1.5220000000000005
101000,1.868
102000,1.704
103000,1.909
104000,2.155
105000,1.909
106000,1.78
107000,1.868
108000,2.319
109000,1.8679999999999999
110000,2.032
111000,1.9910000000000003
112000,1.9910000000000003
113000,1.786
114000,1.8270000000000002
115000,1.868
116000,1.62
117000,2.032
118000,-0.051
119000,0.0
120000,0.0
121000,0.0
122000,0.0
123000,0.0
124000,1.6219999999999999
125000,1.663
126000,1.7860000000000003
127000,2.155
128000,2.155
129000,1.868
130000,2.1550000000000002
131000,1.54
132000,1.9909999999999999
133000,1.663
134000,1.909
135000,1.9090000000000003
136000,1.9909999999999999
137000,2.114
138000,1.8679999999999999
139000,1.622
140000,0.0
141000,0.0
142000,0.0
143000,0.0
144000,1.54
145000,2.073
146000,1.827
147000,1.9090000000000003
148000,2.319
149000,2.2369999999999997
150000,2.032
151000,1.868
152000,1.8270000000000002
153000,2.278
154000,1.663
155000,1.909
156000,2.237
157000,2.032
158000,2.032
159000,2.032
160000,2.073
161000,2.237
162000,2.073
163000,1.663
164000,2.155
165000,2.196
166000,2.237
167000,2.073
168000,0.0
169000,0.0
170000,0.0
171000,0.0
172000,0.0
173000,1.663
174000,1.9089999999999998
175000,0.0
176000,0.0
177000,0.0
178000,0.0
179000,0.0
180000,1.7720000000000005
181000,0.0
182000,0.0
183000,0.0
184000,0.0
185000,1.909
186000,1.9089999999999998
187000,1.9909999999999999
188000,2.073
189000,1.9359999999999993
190000,1.95
191000,0.0
192000,0.0
193000,0.0
194000,0.0
195000,0.0
196000,1.9910000000000003
197000,0.0
198000,0.0
199000,0.0
