episode,reward
0,3.8
1,-0.4
2,-0.2
3,-1.4000000000000001
4,3.8
5,3.8
6,3.8
7,-1.5000000000000002
8,3.1
9,4
10,-0.1
11,3.8
12,-0.2
13,0.8999999999999986
14,-1.2
15,-1.2
16,-0.30000000000000004
17,3.8
18,-0.7999999999999999
19,3.8
20,3.8
21,-0.7
22,-0.7
23,3.8
24,-0.7
25,3.8
26,3.8
27,-0.6
28,-0.5
29,3.8
30,3.8
31,-0.5
32,-0.6
33,-0.6
34,3.8
35,3.8
36,-0.6
37,-0.7
38,-0.6
39,3.7
40,3.8
41,-0.6
42,-0.6
43,-0.4
44,3.7
45,3.8
46,-0.5
47,-0.5
48,-0.5
49,-0.5
50,3.8
51,3.8
52,3.8
53,-0.6
54,-0.6
55,3.8
56,-0.6
57,-0.6
58,3.8
59,3.8
60,-0.1
61,3.8
62,-0.6
63,-0.6
64,3.8
65,3.8
66,-0.6
67,-0.6
68,-0.2
69,-0.6
70,-0.6
71,3.8
72,3.8
73,-0.5
74,-0.5
75,-0.5
76,-0.4
77,-0.5
78,3.9
79,3.8
80,3.8
81,-0.5
82,3.8
83,-0.30000000000000004
84,3.8
85,3.7
86,-0.1
87,-0.5
88,3.8
89,3.8
90,-0.5
91,3.8
92,-0.2
93,3.8
94,3.8
95,-0.5
96,3.8
97,3.7
98,3.8
99,-0.5
100,3.8
101,-0.6
102,3.8
103,-0.5
104,-0.5
105,3.7
106,-0.2
107,3.8
108,3.8
109,-0.5
110,-0.30000000000000004
111,3.9
112,-0.5
113,3.8
114,3.8
115,-0.5
116,3.8
117,3.7
118,3.8
119,3.9
120,3.6
121,-0.5
122,3.8
123,4
124,3.8
125,3.7
126,-0.30000000000000004
127,3.9
128,3.8
129,4
130,-0.5
131,3.8
132,3.8
133,3.8
134,3.8
135,-0.5
136,-0.5
137,-0.4
138,-0.5
139,-0.5
140,-0.5
141,3.8
142,3.8
143,-0.1
144,-0.1
145,-0.5
146,-0.4
147,-0.4
148,3.8
149,3.8
150,-0.5
151,3.8
152,3.8
153,-0.4
154,-0.4
155,-0.4
156,3.8
157,3.8
158,3.8
