episode,score
1000,-9.630000000000042
2000,2.278
3000,1.9909999999999999
4000,-9.096000000000037
5000,2.483
6000,1.9090000000000003
7000,-13.996000000000047
8000,1.827
9000,1.9500000000000002
10000,2.237
11000,1.9910000000000003
12000,-23.90000000000007
13000,1.868
14000,-8.928000000000036
15000,-9.340000000000039
16000,1.9090000000000003
17000,1.4960000000000002
18000,1.95
19000,2.032
20000,-11.080000000000041
21000,-12.232000000000046
22000,1.9910000000000003
23000,1.8270000000000002
24000,-12.788000000000043
25000,2.073
26000,-5.587999999999983
27000,2.1959999999999997
28000,-7.627999999999982
29000,2.032
30000,-8.760000000000039
31000,3.685
32000,1.868
33000,1.622
34000,-0.9659999999999974
35000,1.827
36000,2.073
37000,2.032
38000,1.8679999999999999
39000,1.909
40000,2.155
41000,1.909
42000,-13.032000000000044
43000,2.073
44000,2.073
45000,2.155
46000,1.8270000000000004
47000,1.745
48000,1.6629999999999998
49000,1.5719999999999996
50000,1.7
51000,-9.630000000000042
52000,1.663
53000,0.44999999999999923
54000,2.073
55000,1.952
56000,1.704
57000,1.7720000000000002
58000,1.86
59000,1.9090000000000003
60000,2.278
61000,1.94
62000,2.032
63000,1.5770000000000004
64000,1.86
65000,2.114
66000,1.9280000000000002
67000,1.7
68000,2.24
69000,1.5719999999999996
70000,2.1
71000,2.1
72000,1.66
73000,1.967
74000,1.86
75000,2.0060000000000002
76000,1.868
77000,1.86
78000,-1.5499999999999954
79000,2.06
80000,1.66
81000,1.58
82000,1.7
83000,1.622
84000,1.7040000000000004
85000,1.868
86000,1.868
87000,2.237
88000,1.8270000000000002
89000,1.7040000000000004
90000,2.073
91000,2.237
92000,2.1
93000,-13.000000000000043
94000,-12.052000000000035
95000,1.8270000000000002
96000,1.8679999999999999
97000,1.5810000000000002
98000,1.909
99000,1.704
100000,1.7450000000000003
101000,1.9909999999999999
102000,-12.550000000000036
103000,1.745
104000,1.622
105000,2.237
106000,2.114
107000,1.9909999999999999
108000,1.7860000000000003
109000,1.8500000000000003
110000,2.401
111000,-13.29700000000004
112000,-14.044000000000041
113000,2.26
114000,-14.044000000000041
115000,2.114
116000,2.114
117000,1.786
118000,2.155
119000,1.7450000000000003
120000,1.9909999999999997
121000,1.622
122000,2.032
123000,2.1959999999999997
124000,-12.104000000000042
125000,1.9089999999999998
126000,1.786
127000,2.155
128000,2.237
129000,1.7040000000000004
130000,-11.360000000000039
131000,1.9909999999999999
132000,1.7860000000000003
133000,1.9909999999999999
134000,1.95
135000,2.36
136000,1.7860000000000003
137000,1.7450000000000003
138000,2.237
139000,1.622
140000,1.7980000000000005
141000,1.5400000000000003
142000,-12.550000000000036
143000,-12.550000000000038
144000,-10.309000000000035
145000,1.82
146000,-23.900000000000063
147000,2.1959999999999997
148000,1.9
149000,-11.856000000000043
150000,1.74
151000,3.955999999999999
152000,2.1
153000,1.745
154000,1.9909999999999999
155000,2.1959999999999997
