episode,score
1000,-23.200000000000063
2000,1.7819999999999998
3000,1.7820000000000003
4000,1.7820000000000003
5000,1.7
6000,1.5770000000000002
7000,2.0279999999999996
8000,1.8229999999999997
9000,1.659
10000,1.659
11000,1.659
12000,1.5770000000000002
13000,1.659
14000,1.4950000000000003
15000,1.7
16000,1.6180000000000003
17000,1.2
18000,1.8229999999999997
19000,1.618
20000,1.618
21000,1.2819999999999998
22000,2.069
23000,0.9130000000000003
24000,1.62
25000,1.9460000000000002
26000,1.864
27000,1.7819999999999998
28000,1.7820000000000003
29000,1.4540000000000004
30000,0.3239999999999998
31000,1.7410000000000003
32000,1.7289999999999999
33000,1.6589999999999998
34000,1.577
35000,1.8180000000000007
36000,1.9049999999999998
37000,1.6589999999999998
38000,1.413
39000,-2.4999999999999907
40000,-2.5458999999999894
41000,-2.53419999999999
42000,-2.5386999999999897
43000,-2.4999999999999907
44000,-2.4999999999999907
45000,-2.4999999999999907
46000,-2.4999999999999907
47000,1.5360000000000003
48000,1.7
49000,1.5770000000000002
50000,2.028
51000,1.818
52000,1.6899999999999995
53000,1.7820000000000003
54000,1.7
55000,-12.510700000000027
56000,-9.101400000000027
57000,-2.4999999999999907
58000,-2.5503999999999896
59000,-2.4999999999999907
60000,-25.00000000000008
61000,1.495
62000,-10.522800000000027
63000,-11.72290000000003
64000,-11.628500000000042
65000,-9.76250000000004
66000,-10.91250000000004
67000,1.7
68000,3.75
69000,3.6519999999999997
70000,0.6103999999999995
71000,3.75
72000,3.75
