episode,score
1000,1.9500000000000002
2000,1.909
3000,2.278
4000,1.745
5000,1.7860000000000003
6000,1.868
7000,1.786
8000,0.0
9000,1.95
10000,2.36
11000,2.032
12000,1.9909999999999999
13000,1.9909999999999999
14000,1.745
15000,1.9500000000000002
16000,2.155
17000,1.8679999999999999
18000,1.663
19000,1.704
20000,1.622
21000,1.663
22000,1.7860000000000003
23000,1.9909999999999997
24000,1.868
25000,2.1940000000000004
26000,2.319
27000,4.0
28000,-0.051
29000,0.0
30000,-0.041999999999999996
31000,1.9910000000000003
