episode,score
1000,1.6320000000000001
2000,1.2220000000000002
3000,1.591
4000,1.222
5000,1.4679999999999997
6000,1.7139999999999997
7000,1.4679999999999997
8000,1.3399999999999996
9000,1.5089999999999997
10000,1.4269999999999996
11000,1.7139999999999997
12000,1.7139999999999997
13000,1.6729999999999998
14000,1.3449999999999998
15000,1.591
16000,1.5089999999999997
17000,1.632
18000,1.55
19000,1.5909999999999997
20000,1.4679999999999997
21000,2.083
22000,1.6729999999999998
23000,-25.00000000000008
24000,1.4679999999999995
25000,1.4679999999999997
26000,1.345
27000,1.55
28000,1.3039999999999998
29000,1.55
30000,1.5499999999999998
31000,1.96
32000,1.2629999999999997
33000,1.6320000000000001
34000,1.1399999999999997
35000,1.7549999999999997
36000,1.4679999999999997
37000,1.591
38000,1.714
39000,1.4269999999999996
40000,1.6729999999999998
41000,1.5090000000000001
42000,-25.00000000000008
43000,1.304
44000,1.796
45000,1.2630000000000001
46000,1.3449999999999998
47000,1.714
48000,1.4680000000000002
49000,1.7139999999999997
50000,1.837
51000,1.099
52000,1.3859999999999997
53000,1.5089999999999997
54000,2.083
55000,3.600000000000002
56000,3.600000000000002
57000,3.600000000000002
58000,3.600000000000002
59000,-10.545000000000034
