episode,score
1000,1.7450000000000003
2000,2.032
3000,1.7740000000000007
4000,1.663
5000,1.704
6000,2.032
7000,2.073
8000,1.8270000000000002
9000,1.66
10000,1.9910000000000003
11000,1.8270000000000002
12000,1.8270000000000002
13000,1.581
14000,2.032
15000,1.9500000000000002
16000,2.114
17000,2.032
18000,1.909
19000,2.319
20000,1.909
21000,2.114
22000,1.745
23000,1.909
24000,2.237
25000,1.786
26000,2.1959999999999997
27000,1.745
28000,1.74
29000,1.868
30000,1.827
31000,2.1959999999999997
32000,2.073
33000,1.6900000000000004
34000,1.868
35000,1.4580000000000002
36000,1.909
37000,1.95
38000,2.237
39000,2.073
40000,1.7040000000000004
41000,1.95
42000,1.745
43000,1.8160000000000005
44000,2.114
45000,2.032
46000,1.9910000000000003
47000,2.073
48000,2.0730000000000004
49000,1.786
50000,1.95
51000,2.114
52000,1.827
53000,1.868
54000,1.868
55000,2.1959999999999997
56000,1.9910000000000003
57000,2.1959999999999997
58000,2.114
59000,1.663
60000,2.114
61000,2.155
62000,2.032
63000,2.1140000000000003
64000,1.663
65000,1.9910000000000003
66000,1.95
67000,2.1959999999999997
68000,2.032
69000,1.9499999999999997
70000,2.032
71000,2.032
72000,1.5810000000000002
73000,2.155
74000,1.9
75000,1.7860000000000003
76000,2.114
77000,2.073
78000,2.155
79000,1.8270000000000002
80000,1.5810000000000002
81000,1.622
82000,1.8270000000000002
83000,2.278
84000,1.909
85000,1.827
86000,2.114
87000,2.073
88000,1.909
89000,1.7040000000000004
90000,1.9910000000000003
91000,1.868
92000,2.524
93000,2.032
94000,1.7450000000000003
95000,2.1959999999999997
96000,1.663
97000,1.9910000000000003
98000,2.155
99000,1.95
100000,2.032
101000,2.032
102000,1.745
103000,1.9909999999999999
104000,3.8259999999999996
105000,-0.04799999999999999
106000,2.114
107000,1.9910000000000003
108000,1.8270000000000002
