episode,score
1000,1.7450000000000003
2000,2.155
3000,2.4419999999999997
4000,2.237
5000,1.909
6000,2.36
7000,1.8679999999999999
8000,1.5810000000000002
9000,2.0260000000000002
10000,-0.09999999999999998
11000,-0.15099999999999997
12000,2.06
13000,-0.09999999999999998
14000,-0.09999999999999998
15000,-0.041999999999999996
16000,2.073
17000,-0.04
18000,1.9909999999999999
19000,1.745
20000,1.7450000000000003
21000,1.8270000000000002
22000,1.9000000000000004
23000,1.7740000000000002
24000,0.0
25000,-0.055999999999999994
26000,0.0
27000,0.0
28000,1.663
29000,1.9909999999999999
30000,1.7450000000000003
31000,1.9500000000000002
32000,1.8160000000000005
33000,1.7860000000000003
34000,2.032
35000,1.5220000000000005
36000,2.155
37000,2.0260000000000007
38000,1.7740000000000002
39000,1.6940000000000004
40000,1.78
41000,0.0
42000,1.98
43000,2.02
44000,-0.04699999999999999
45000,1.82
46000,-0.05499999999999999
47000,2.14
48000,1.7450000000000003
49000,1.88
50000,1.95
51000,1.92
52000,0.0
53000,0.0
54000,0.0
55000,0.0
56000,0.0
57000,0.0
58000,0.0
59000,0.0
60000,0.0
61000,0.0
62000,0.0
63000,0.0
64000,0.0
65000,0.0
66000,0.0
67000,0.0
68000,0.0
69000,0.0
70000,0.0
71000,0.0
72000,0.0
73000,2.319
74000,1.581
75000,1.786
76000,1.868
77000,3.940999999999999
78000,3.9519999999999995
79000,1.581
80000,1.95
81000,1.95
