episode,score
1000,-2.2550000000000012
2000,-2.1090000000000013
3000,-2.0910000000000015
4000,-2.214000000000001
5000,-2.1270000000000007
6000,-2.2550000000000012
7000,-2.255000000000001
8000,-2.255000000000001
9000,-2.296000000000001
10000,-2.337000000000001
11000,-2.255000000000001
12000,-2.0090000000000012
13000,-25.00000000000008
14000,-1.9680000000000013
15000,-2.2550000000000012
16000,-2.1730000000000014
17000,-2.583000000000001
18000,-2.0910000000000015
19000,-2.132000000000001
20000,-25.00000000000008
21000,-2.1320000000000014
22000,-1.9270000000000014
23000,-2.4190000000000014
24000,-1.9680000000000013
25000,-1.7630000000000012
26000,-1.804000000000001
27000,-1.5170000000000012
28000,-2.091000000000001
29000,-25.00000000000008
30000,-2.1730000000000014
31000,-1.8860000000000015
32000,-2.050000000000001
33000,-25.00000000000008
34000,-1.8040000000000012
35000,-2.050000000000001
36000,-1.886000000000001
37000,-25.00000000000008
38000,-2.2140000000000013
39000,-1.845000000000001
40000,-25.00000000000008
41000,-2.091000000000001
42000,-2.2550000000000012
43000,-2.0500000000000007
44000,-2.050000000000001
45000,-25.00000000000008
46000,-25.00000000000008
47000,-1.9680000000000009
48000,-2.4600000000000013
49000,-2.009000000000001
50000,-1.886000000000001
51000,-1.845000000000001
52000,-1.8040000000000012
53000,-2.091000000000001
54000,-2.173000000000001
55000,-1.9680000000000009
56000,-1.9680000000000013
57000,-2.583000000000001
58000,-2.009000000000001
59000,-2.1320000000000014
60000,-1.8040000000000012
61000,-25.00000000000008
62000,-25.00000000000008
63000,-25.00000000000008
64000,-1.8040000000000012
65000,-2.0090000000000012
66000,-1.9680000000000009
67000,-2.2140000000000013
68000,-2.173000000000001
69000,-2.0500000000000016
70000,-2.296000000000001
71000,-1.845000000000001
72000,-2.1730000000000014
73000,-1.9680000000000013
74000,-1.9270000000000014
75000,-2.4190000000000014
76000,-2.214000000000001
77000,-1.8860000000000015
78000,-1.9040000000000008
79000,-2.091000000000001
80000,-2.132000000000001
81000,-2.0500000000000007
82000,-25.00000000000008
83000,-2.0090000000000012
84000,-1.8040000000000012
85000,-2.132000000000001
86000,-1.9270000000000014
87000,-2.050000000000001
88000,-1.8860000000000015
89000,-1.8450000000000015
90000,-2.419000000000001
91000,-25.00000000000008
92000,-2.050000000000001
93000,-1.845000000000001
94000,-2.132000000000001
95000,-1.9680000000000009
96000,-1.7630000000000012
97000,-2.5830000000000006
98000,-1.763000000000001
99000,-25.00000000000008
100000,-2.2550000000000012
101000,-2.173000000000001
102000,-2.2550000000000012
103000,-2.009000000000001
104000,-2.132000000000001
105000,-2.1730000000000014
106000,-2.2550000000000012
107000,-2.091000000000001
108000,-1.9680000000000013
109000,-2.2140000000000013
110000,-1.9040000000000008
111000,-1.9270000000000014
112000,-2.4190000000000014
113000,-2.214000000000001
114000,-1.9270000000000014
115000,-2.068000000000001
116000,-2.5010000000000012
117000,-2.091000000000001
118000,-2.337000000000001
119000,-2.132000000000001
120000,-2.091000000000001
121000,-2.2550000000000012
122000,-1.9680000000000009
123000,-2.2140000000000013
124000,-1.9680000000000009
125000,-2.050000000000001
126000,-2.214000000000001
127000,-2.214000000000001
128000,-2.0910000000000015
129000,-2.2140000000000013
130000,-1.9680000000000013
131000,-2.378000000000001
132000,-2.583000000000001
133000,-2.1730000000000014
134000,-1.9270000000000014
135000,-2.2140000000000013
136000,-2.009000000000001
137000,-1.9680000000000009
138000,-2.4190000000000014
139000,-1.9680000000000013
140000,-2.132000000000001
141000,-2.0270000000000015
142000,-1.7630000000000012
143000,-2.4190000000000014
144000,-2.0090000000000012
145000,-25.00000000000008
146000,-2.2140000000000013
147000,-2.091000000000001
148000,-1.9270000000000014
149000,-2.3370000000000015
150000,-25.00000000000008
151000,-2.2140000000000013
152000,-1.7630000000000012
153000,-2.050000000000001
154000,-1.9270000000000014
155000,-1.9270000000000014
156000,-1.7630000000000012
157000,-2.091000000000001
158000,-2.314000000000001
159000,-2.0500000000000007
160000,-1.8860000000000015
161000,-2.4600000000000013
162000,-2.583000000000001
163000,-1.6810000000000014
164000,-2.091000000000001
165000,-2.050000000000001
166000,-25.00000000000008
167000,-1.6810000000000014
168000,-2.378000000000001
169000,-2.132000000000001
170000,-2.337000000000001
171000,-2.4190000000000014
172000,-2.1730000000000014
173000,-25.00000000000008
174000,-25.00000000000008
175000,-1.8860000000000015
176000,-25.00000000000008
177000,-25.00000000000008
178000,-25.00000000000008
179000,-2.1730000000000014
180000,-1.8860000000000015
181000,-25.00000000000008
182000,-25.00000000000008
183000,-2.1730000000000014
184000,-2.068000000000001
185000,-1.8860000000000015
186000,-25.00000000000008
187000,-1.8860000000000015
188000,-1.9680000000000015
189000,-25.00000000000008
190000,-1.9680000000000013
191000,-1.8860000000000015
192000,-1.763000000000001
193000,-2.150000000000001
194000,-2.0910000000000015
195000,-2.378000000000001
196000,-2.173000000000001
197000,-2.2550000000000012
198000,-1.6810000000000014
199000,-2.4190000000000014
