episode,score
1000,-25.00000000000008
2000,-25.00000000000008
3000,-25.00000000000008
4000,-25.00000000000008
5000,-25.00000000000008
6000,-25.00000000000008
7000,-25.00000000000008
8000,-25.00000000000008
9000,-25.00000000000008
10000,-25.00000000000008
11000,-25.00000000000008
12000,-25.00000000000008
13000,-25.00000000000008
14000,-25.00000000000008
15000,-25.00000000000008
16000,-25.00000000000008
17000,-25.00000000000008
18000,-25.00000000000008
19000,-25.00000000000008
20000,-25.00000000000008
21000,-25.00000000000008
22000,-25.00000000000008
23000,-25.00000000000008
24000,-25.00000000000008
25000,-25.00000000000008
26000,-25.00000000000008
27000,-25.00000000000008
28000,-25.00000000000008
29000,-25.00000000000008
30000,-25.00000000000008
31000,-1.422000000000002
32000,-1.7090000000000014
33000,-1.8960000000000017
34000,-16.096000000000046
35000,-2.0370000000000017
36000,-1.6910000000000016
37000,-1.5680000000000016
38000,-1.6090000000000015
39000,-1.6500000000000015
40000,-1.6910000000000016
41000,-1.7730000000000015
42000,-1.8960000000000015
43000,-2.1420000000000017
44000,-1.6090000000000015
45000,-1.8140000000000014
46000,-1.855000000000001
47000,-1.8140000000000014
48000,-1.6910000000000016
49000,-12.300000000000042
50000,-1.791000000000002
51000,-1.8960000000000017
52000,-1.791000000000002
53000,-1.4040000000000015
54000,-1.3220000000000016
55000,-1.080000000000002
56000,-1.8680000000000019
57000,-1.4860000000000015
58000,-1.5270000000000017
59000,-1.7600000000000018
60000,-2.2460000000000018
61000,-1.8550000000000018
62000,-1.6580000000000021
63000,0.3449999999999981
64000,-1.5090000000000017
65000,-1.3600000000000014
66000,-1.8800000000000014
67000,0.4999999999999983
68000,-25.00000000000008
69000,-25.00000000000008
70000,-25.00000000000008
71000,-2.229999999999998
