episode,score
1000,1.581
2000,1.95
3000,1.786
4000,2.114
5000,2.1959999999999997
6000,2.155
7000,1.95
8000,1.95
9000,1.868
10000,1.9500000000000002
11000,1.9910000000000003
12000,1.9499999999999997
13000,2.114
14000,1.9910000000000003
15000,2.1140000000000003
16000,1.9910000000000003
17000,2.073
18000,1.868
19000,2.1959999999999997
20000,1.868
21000,2.032
22000,1.704
23000,1.786
24000,1.9909999999999999
25000,2.073
26000,1.95
27000,1.95
28000,1.7450000000000003
29000,2.1959999999999997
30000,1.9910000000000003
31000,2.155
32000,1.5400000000000003
33000,1.95
34000,-0.05199999999999999
35000,1.786
36000,1.95
37000,1.868
38000,1.704
39000,2.319
40000,1.868
41000,1.745
42000,0.0
43000,2.114
44000,1.8270000000000002
45000,1.8270000000000002
46000,0.0
47000,1.786
48000,-0.05499999999999999
49000,0.0
50000,1.909
51000,0.0
52000,1.8679999999999999
53000,1.95
54000,1.663
55000,0.0
56000,0.0
57000,1.95
58000,0.0
59000,1.909
60000,0.0
61000,1.9090000000000003
62000,1.8270000000000002
63000,2.196
64000,0.0
65000,0.0
66000,0.0
67000,0.0
68000,0.0
69000,0.0
70000,0.0
71000,0.0
72000,1.827
73000,1.9909999999999999
74000,0.0
75000,2.073
76000,0.0
77000,2.073
78000,0.0
79000,0.0
80000,1.9910000000000003
81000,1.95
82000,2.16
83000,1.745
84000,1.9909999999999999
85000,2.032
86000,1.745
87000,1.7860000000000003
88000,2.114
89000,1.9500000000000002
90000,0.0
91000,0.0
92000,0.0
93000,0.0
94000,1.868
95000,0.0
96000,0.0
97000,0.0
98000,0.0
99000,0.0
100000,0.0
101000,1.909
102000,0.0
103000,0.0
104000,0.0
105000,0.0
106000,0.0
107000,0.0
108000,0.0
109000,1.6219999999999999
110000,1.9909999999999999
111000,2.032
112000,2.114
113000,1.909
114000,2.196
115000,0.0
116000,0.0
117000,0.0
118000,0.0
119000,0.0
120000,0.0
121000,0.0
122000,0.0
123000,0.0
124000,0.0
125000,0.0
126000,0.0
127000,0.0
128000,0.0
129000,1.7860000000000003
130000,1.663
131000,0.0
132000,0.0
133000,0.0
134000,0.0
135000,0.0
136000,2.114
137000,1.95
138000,0.0
139000,0.0
140000,0.0
141000,0.0
142000,1.4580000000000002
143000,0.0
144000,0.0
145000,0.0
146000,0.0
147000,0.0
148000,0.0
149000,0.0
150000,0.0
151000,0.0
152000,2.073
153000,0.0
154000,0.0
155000,0.0
156000,0.0
157000,1.8679999999999999
158000,0.0
159000,0.0
160000,0.0
161000,0.0
162000,0.0
163000,2.114
164000,1.7860000000000003
165000,0.0
166000,0.0
167000,0.0
168000,0.0
169000,0.0
170000,0.0
171000,2.237
172000,1.8270000000000002
173000,0.0
174000,0.0
175000,0.0
176000,2.032
177000,2.237
178000,0.0
179000,0.0
180000,0.0
181000,0.0
182000,0.0
183000,1.663
184000,1.663
185000,0.0
186000,0.0
187000,0.0
188000,0.0
189000,0.0
190000,0.0
191000,0.0
192000,0.0
193000,0.0
194000,0.0
195000,0.0
196000,0.0
197000,0.0
198000,0.0
199000,0.0
